trailheadapp__Assigned_Date__c	trailheadapp__Badge__c	trailheadapp__Due_Date__c	trailheadapp__Finished_Date__c	trailheadapp__First_Attempted_Date__c	trailheadapp__Last_Attempted_Date__c	trailheadapp__Status__c	trailheadapp__User__c
	m-6823	2018-12-16T00:55:54.000Z				Assigned	User.012
	m-7541	2018-12-19T09:29:44.000Z				Assigned	User.017
	m-12523	2018-05-07T06:27:53.000Z				Assigned	User.019
	m-12455	2018-08-09T18:09:50.000Z				Assigned	User.018
	m-2660	2018-12-05T06:29:15.000Z				Assigned	User.003
	m-2677	2018-07-29T03:11:56.000Z				Assigned	User.006
	m-2641	2018-05-26T06:11:49.000Z				Assigned	User.023
	m-5260	2018-04-28T09:30:34.000Z				Assigned	User.007
	m-10150	2018-09-22T10:02:38.000Z				Assigned	User.011
	m-2649	2019-01-22T10:52:13.000Z				Assigned	User.013
	m-5229	2019-01-29T17:21:31.000Z				Assigned	User.016
	m-7050	2019-01-29T05:05:34.000Z				Assigned	User.031
	m-9207	2018-09-27T07:14:17.000Z				Assigned	User.006
	m-12496	2018-07-10T13:22:16.000Z				Assigned	User.024
	m-7472	2018-08-15T13:02:42.000Z				Assigned	User.001
	m-6837	2019-02-04T06:31:47.000Z				Assigned	User.006
	m-6825	2018-11-07T20:49:44.000Z				Assigned	User.017
	m-12491	2019-02-04T09:23:14.000Z				Assigned	User.001
	m-12530	2018-12-24T11:42:33.000Z				Assigned	User.018
	m-7466	2018-07-03T22:58:33.000Z				Assigned	User.003
	m-12546	2019-03-26T13:35:38.000Z				Assigned	User.006
	m-12564	2018-10-16T01:01:55.000Z				Assigned	User.017
	m-8132	2018-04-08T14:25:35.000Z				Assigned	User.019
	m-7050	2018-05-05T05:03:37.000Z				Assigned	User.013
	m-10150	2018-09-29T17:59:36.000Z				Assigned	User.000
	m-12492	2018-04-23T23:15:09.000Z				Assigned	User.037
	m-9445	2018-05-17T23:59:14.000Z				Assigned	User.001
	m-9210	2019-02-19T11:57:15.000Z				Assigned	User.012
	m-12493	2018-09-23T14:50:53.000Z				Assigned	User.000
	m-12598	2018-09-06T04:43:41.000Z				Assigned	User.007
	m-12511	2019-01-23T11:28:32.000Z				Assigned	User.001
	m-6850	2018-07-14T04:50:51.000Z				Assigned	User.002
	m-8133	2018-08-02T16:42:29.000Z				Assigned	User.003
	m-5234	2018-11-16T11:43:19.000Z				Assigned	User.018
	m-5234	2018-04-23T23:56:54.000Z				Assigned	User.031
	m-6824	2018-06-01T22:04:50.000Z				Assigned	User.019
	m-12574	2019-03-20T02:56:55.000Z				Assigned	User.024
	m-9111	2018-10-25T09:04:43.000Z				Assigned	User.021
	m-8143	2018-09-10T17:09:13.000Z				Assigned	User.024
	m-12492	2018-05-18T14:26:27.000Z				Assigned	User.024
	m-11323	2019-01-04T13:13:24.000Z				Assigned	User.003
	m-4859	2019-03-18T00:49:25.000Z				Assigned	User.037
	m-5228	2019-03-07T06:56:07.000Z				Assigned	User.013
	m-5214		2018-05-24T03:19:25.000Z	2018-04-04T01:34:02.000Z	2018-05-24T03:19:25.000Z	Completed	User.017
	m-12596		2019-03-12T00:48:30.000Z	2018-10-28T03:39:25.000Z	2019-03-12T00:48:30.000Z	Completed	User.016
	m-8447		2018-06-28T22:25:49.000Z	2018-08-26T00:59:59.000Z	2018-06-28T22:25:49.000Z	Completed	User.001
	m-9483		2018-06-28T02:23:43.000Z	2019-03-16T17:29:41.000Z	2018-06-28T02:23:43.000Z	Completed	User.013
	m-8164		2019-02-03T20:16:49.000Z	2018-08-14T12:58:55.000Z	2019-02-03T20:16:49.000Z	Completed	User.002
	m-7045		2018-11-18T08:51:51.000Z	2019-03-27T06:40:37.000Z	2018-11-18T08:51:51.000Z	Completed	User.019
	m-9103		2018-08-10T02:39:47.000Z	2018-10-06T00:11:17.000Z	2018-08-10T02:39:47.000Z	Completed	User.013
	m-2646		2019-03-24T04:04:08.000Z	2019-02-11T22:00:03.000Z	2019-03-24T04:04:08.000Z	Completed	User.005
	m-9653		2018-06-10T01:42:42.000Z	2019-02-05T14:44:47.000Z	2018-06-10T01:42:42.000Z	Completed	User.037
	m-4848		2018-08-17T02:54:15.000Z	2018-10-12T14:36:19.000Z	2018-08-17T02:54:15.000Z	Completed	User.020
	m-12545		2018-06-08T01:17:40.000Z	2018-04-13T16:19:09.000Z	2018-06-08T01:17:40.000Z	Completed	User.012
	m-12484		2018-08-18T00:25:36.000Z	2018-05-06T07:48:20.000Z	2018-08-18T00:25:36.000Z	Completed	User.023
	m-10145		2018-08-09T00:42:46.000Z	2019-02-12T22:04:35.000Z	2018-08-09T00:42:46.000Z	Completed	User.002
	m-5205		2018-12-27T05:28:47.000Z	2019-03-04T12:56:18.000Z	2018-12-27T05:28:47.000Z	Completed	User.031
	m-6837		2018-06-19T14:54:09.000Z	2018-07-10T17:50:10.000Z	2018-06-19T14:54:09.000Z	Completed	User.017
	m-4638		2018-07-26T02:43:52.000Z	2018-06-03T04:27:26.000Z	2018-07-26T02:43:52.000Z	Completed	User.031
	m-12453		2018-08-24T07:15:43.000Z	2019-03-15T03:14:53.000Z	2018-08-24T07:15:43.000Z	Completed	User.006
	m-2654		2019-01-17T03:58:24.000Z	2018-09-23T05:30:05.000Z	2019-01-17T03:58:24.000Z	Completed	User.000
	m-12486		2018-06-11T04:13:46.000Z	2018-12-19T23:31:52.000Z	2018-06-11T04:13:46.000Z	Completed	User.011
	m-3644		2018-10-03T15:35:49.000Z	2018-08-24T23:30:58.000Z	2018-10-03T15:35:49.000Z	Completed	User.017
	m-12460		2018-09-17T13:40:35.000Z	2018-11-17T03:12:52.000Z	2018-09-17T13:40:35.000Z	Completed	User.024
	m-12466		2018-06-22T00:07:37.000Z	2018-12-19T22:57:51.000Z	2018-06-22T00:07:37.000Z	Completed	User.012
	m-7047		2018-05-13T07:00:53.000Z	2018-11-26T23:56:38.000Z	2018-05-13T07:00:53.000Z	Completed	User.013
	m-5260		2018-08-05T05:17:07.000Z	2018-12-01T09:20:35.000Z	2018-08-05T05:17:07.000Z	Completed	User.001
	m-7471		2018-05-02T12:52:03.000Z	2019-01-12T15:01:40.000Z	2018-05-02T12:52:03.000Z	Completed	User.018
	m-5280		2018-07-23T15:29:59.000Z	2019-03-06T22:00:36.000Z	2018-07-23T15:29:59.000Z	Completed	User.024
	m-8143		2018-09-09T02:41:24.000Z	2018-08-08T04:31:38.000Z	2018-09-09T02:41:24.000Z	Completed	User.013
	m-5228		2019-02-28T11:29:28.000Z	2018-08-17T05:24:05.000Z	2019-02-28T11:29:28.000Z	Completed	User.002
	m-12456		2018-10-27T03:02:53.000Z	2018-11-20T00:04:14.000Z	2018-10-27T03:02:53.000Z	Completed	User.002
	m-9103		2018-08-21T15:28:19.000Z	2019-01-22T15:21:58.000Z	2018-08-21T15:28:19.000Z	Completed	User.017
	m-12478		2018-11-04T07:26:34.000Z	2018-07-02T04:37:00.000Z	2018-11-04T07:26:34.000Z	Completed	User.013
	m-9105		2018-10-27T17:52:38.000Z	2018-10-01T20:10:54.000Z	2018-10-27T17:52:38.000Z	Completed	User.017
	m-12506		2018-12-03T21:33:28.000Z	2018-12-25T10:39:26.000Z	2018-12-03T21:33:28.000Z	Completed	User.021
	m-7433		2018-06-02T04:24:37.000Z	2018-12-23T21:14:55.000Z	2018-06-02T04:24:37.000Z	Completed	User.016
	m-7433		2019-02-26T17:23:44.000Z	2018-09-30T05:40:32.000Z	2019-02-26T17:23:44.000Z	Completed	User.000
	m-2645		2018-06-04T15:12:43.000Z	2018-10-17T17:38:41.000Z	2018-06-04T15:12:43.000Z	Completed	User.000
	m-4637		2018-09-26T17:55:07.000Z	2018-05-11T02:35:13.000Z	2018-09-26T17:55:07.000Z	Completed	User.006
	m-12582		2019-01-06T07:37:42.000Z	2018-08-23T20:15:53.000Z	2019-01-06T07:37:42.000Z	Completed	User.013
	m-5229		2018-07-19T12:41:32.000Z	2019-02-15T21:58:00.000Z	2018-07-19T12:41:32.000Z	Completed	User.000
	m-12452		2018-10-26T15:28:06.000Z	2018-11-14T16:50:52.000Z	2018-10-26T15:28:06.000Z	Completed	User.021
	m-12545		2018-11-17T18:33:30.000Z	2019-03-05T16:07:05.000Z	2018-11-17T18:33:30.000Z	Completed	User.001
	m-9484		2018-11-08T14:08:05.000Z	2019-03-27T10:19:06.000Z	2018-11-08T14:08:05.000Z	Completed	User.006
	m-12553		2018-11-04T11:19:40.000Z	2019-02-04T13:36:09.000Z	2018-11-04T11:19:40.000Z	Completed	User.037
	m-8133		2018-12-13T17:21:34.000Z	2018-11-19T01:10:30.000Z	2018-12-13T17:21:34.000Z	Completed	User.018
	m-12596		2019-01-03T13:02:02.000Z	2018-05-09T19:13:08.000Z	2019-01-03T13:02:02.000Z	Completed	User.006
	m-12548		2019-02-09T13:13:49.000Z	2018-06-16T15:21:50.000Z	2019-02-09T13:13:49.000Z	Completed	User.019
	m-12482		2018-07-27T06:01:21.000Z	2018-12-27T06:02:08.000Z	2018-07-27T06:01:21.000Z	Completed	User.031
	m-12497		2018-06-28T00:55:37.000Z	2019-01-14T08:49:11.000Z	2018-06-28T00:55:37.000Z	Completed	User.013
	m-5667		2019-03-20T21:46:12.000Z	2018-05-16T08:37:40.000Z	2019-03-20T21:46:12.000Z	Completed	User.005
	m-8185		2018-08-19T13:07:56.000Z	2018-06-25T10:21:44.000Z	2018-08-19T13:07:56.000Z	Completed	User.012
	m-12484		2018-12-06T15:47:46.000Z	2018-05-25T04:29:20.000Z	2018-12-06T15:47:46.000Z	Completed	User.018
	m-2641		2018-07-07T09:58:04.000Z	2018-11-01T18:52:04.000Z	2018-07-07T09:58:04.000Z	Completed	User.016
	m-12567		2018-05-22T21:27:32.000Z	2018-12-02T21:06:40.000Z	2018-05-22T21:27:32.000Z	Completed	User.013
	m-12448		2018-09-15T02:02:36.000Z	2019-02-10T12:42:26.000Z	2018-09-15T02:02:36.000Z	Completed	User.017
	m-4848		2018-10-01T07:35:06.000Z	2018-05-03T08:26:43.000Z	2018-10-01T07:35:06.000Z	Completed	User.005
	m-12491		2018-09-04T10:40:24.000Z	2018-03-30T12:12:34.000Z	2018-09-04T10:40:24.000Z	Completed	User.015
	m-2656		2019-01-02T15:06:04.000Z	2018-12-10T08:48:40.000Z	2019-01-02T15:06:04.000Z	Completed	User.017
	m-12507		2019-02-26T08:23:34.000Z	2018-12-09T21:31:30.000Z	2019-02-26T08:23:34.000Z	Completed	User.019
	m-9207		2018-11-22T16:37:11.000Z	2018-10-11T00:51:29.000Z	2018-11-22T16:37:11.000Z	Completed	User.018
	m-12517		2018-08-26T03:48:22.000Z	2018-12-02T05:33:17.000Z	2018-08-26T03:48:22.000Z	Completed	User.020
	m-2654		2018-06-23T11:53:28.000Z	2018-10-02T05:45:58.000Z	2018-06-23T11:53:28.000Z	Completed	User.002
	m-12598		2018-09-04T05:19:09.000Z	2018-10-13T22:15:07.000Z	2018-09-04T05:19:09.000Z	Completed	User.037
	m-2657		2018-04-13T19:07:45.000Z	2019-03-04T18:31:46.000Z	2018-04-13T19:07:45.000Z	Completed	User.000
	m-12471		2019-03-13T22:29:32.000Z	2019-03-27T14:24:57.000Z	2019-03-13T22:29:32.000Z	Completed	User.015
	m-5140		2018-04-15T11:55:29.000Z	2018-04-20T17:18:57.000Z	2018-04-15T11:55:29.000Z	Completed	User.023
	m-12462		2018-09-09T03:36:58.000Z	2018-09-10T14:07:33.000Z	2018-09-09T03:36:58.000Z	Completed	User.006
	m-9430		2018-07-05T14:00:40.000Z	2018-04-09T17:02:28.000Z	2018-07-05T14:00:40.000Z	Completed	User.016
	m-12511		2018-04-26T19:04:30.000Z	2018-07-09T10:48:01.000Z	2018-04-26T19:04:30.000Z	Completed	User.016
	m-5253		2018-09-24T12:55:31.000Z	2019-03-05T05:47:50.000Z	2018-09-24T12:55:31.000Z	Completed	User.021
	m-2647		2018-07-14T10:44:35.000Z	2018-08-15T01:07:30.000Z	2018-07-14T10:44:35.000Z	Completed	User.018
	m-7505		2018-07-31T00:33:03.000Z	2018-12-29T09:39:49.000Z	2018-07-31T00:33:03.000Z	Completed	User.017
	m-9501		2018-07-14T03:24:00.000Z	2018-07-27T10:08:56.000Z	2018-07-14T03:24:00.000Z	Completed	User.003
	m-8164		2018-07-02T01:22:42.000Z	2018-05-26T14:45:31.000Z	2018-07-02T01:22:42.000Z	Completed	User.011
	m-9102		2018-11-30T17:42:57.000Z	2019-03-22T08:40:12.000Z	2018-11-30T17:42:57.000Z	Completed	User.018
	m-7543		2019-03-24T01:19:11.000Z	2018-03-30T20:20:06.000Z	2019-03-24T01:19:11.000Z	Completed	User.018
	m-5896		2018-12-20T10:34:15.000Z	2018-04-21T11:41:49.000Z	2018-12-20T10:34:15.000Z	Completed	User.016
	m-8142		2019-03-25T02:11:57.000Z	2018-08-08T02:05:08.000Z	2019-03-25T02:11:57.000Z	Completed	User.005
	m-5228	2018-07-12T17:33:54.000Z		2018-11-14T12:31:01.000Z	2018-11-14T12:31:01.000Z	In-Progress	User.019
	m-9102	2018-07-09T02:18:04.000Z		2018-09-23T10:34:36.000Z	2018-09-23T10:34:36.000Z	In-Progress	User.021
	m-12593	2019-02-12T21:58:17.000Z		2018-07-05T03:32:53.000Z	2018-07-05T03:32:53.000Z	In-Progress	User.002
	m-5280	2018-11-01T15:47:18.000Z		2018-03-29T15:52:20.000Z	2018-03-29T15:52:20.000Z	In-Progress	User.012
	m-5896	2018-11-18T06:56:13.000Z		2018-09-14T04:28:47.000Z	2018-09-14T04:28:47.000Z	In-Progress	User.037
	m-12526	2018-08-11T06:17:15.000Z		2018-11-23T14:22:29.000Z	2018-11-23T14:22:29.000Z	In-Progress	User.000
	m-8133	2019-03-25T05:50:20.000Z		2018-12-08T23:23:25.000Z	2018-12-08T23:23:25.000Z	In-Progress	User.012
	m-9729	2018-06-07T13:59:35.000Z		2018-05-21T07:01:34.000Z	2018-05-21T07:01:34.000Z	In-Progress	User.031
	m-8116	2018-05-02T20:42:46.000Z		2018-04-21T14:04:25.000Z	2018-04-21T14:04:25.000Z	In-Progress	User.016
	m-2649	2019-01-25T17:49:36.000Z		2018-07-25T02:07:18.000Z	2018-07-25T02:07:18.000Z	In-Progress	User.018
	m-2652	2018-05-06T11:17:04.000Z		2018-04-25T05:05:32.000Z	2018-04-25T05:05:32.000Z	In-Progress	User.012
	m-2666	2018-07-08T07:48:56.000Z		2018-08-13T00:36:10.000Z	2018-08-13T00:36:10.000Z	In-Progress	User.007
	m-12495	2019-03-16T05:48:59.000Z		2018-12-12T16:47:09.000Z	2018-12-12T16:47:09.000Z	In-Progress	User.000
	m-11601	2019-03-24T09:22:06.000Z		2019-03-20T05:45:48.000Z	2019-03-20T05:45:48.000Z	In-Progress	User.018
	m-7054	2019-03-08T14:32:40.000Z		2018-10-29T21:20:38.000Z	2018-10-29T21:20:38.000Z	In-Progress	User.021
	m-7050	2018-04-13T15:26:15.000Z		2018-05-23T09:19:34.000Z	2018-05-23T09:19:34.000Z	In-Progress	User.000
	m-7394	2019-01-24T23:54:22.000Z		2018-05-16T01:06:29.000Z	2018-05-16T01:06:29.000Z	In-Progress	User.031
	m-12597	2018-12-04T19:32:21.000Z		2018-08-02T06:12:28.000Z	2018-08-02T06:12:28.000Z	In-Progress	User.016
	m-7063	2018-08-13T20:03:05.000Z		2019-02-20T01:47:48.000Z	2019-02-20T01:47:48.000Z	In-Progress	User.031
	m-12450	2018-05-17T12:00:20.000Z		2018-05-08T09:09:32.000Z	2018-05-08T09:09:32.000Z	In-Progress	User.013
	m-5234	2018-06-01T07:43:44.000Z		2018-12-26T02:35:08.000Z	2018-12-26T02:35:08.000Z	In-Progress	User.015
	m-5205	2018-04-01T18:48:57.000Z		2019-01-20T12:45:21.000Z	2019-01-20T12:45:21.000Z	In-Progress	User.007
	m-9444	2018-07-20T14:53:00.000Z		2018-09-27T07:32:56.000Z	2018-09-27T07:32:56.000Z	In-Progress	User.000
	m-12462	2018-11-08T04:48:07.000Z		2018-08-30T18:52:18.000Z	2018-08-30T18:52:18.000Z	In-Progress	User.013
	m-4858	2018-05-21T21:14:44.000Z		2018-08-19T00:40:45.000Z	2018-08-19T00:40:45.000Z	In-Progress	User.016
	m-7359	2018-10-18T05:40:21.000Z		2018-11-27T21:47:42.000Z	2018-11-27T21:47:42.000Z	In-Progress	User.021
	m-12550	2019-01-06T12:32:00.000Z		2018-04-15T07:51:13.000Z	2018-04-15T07:51:13.000Z	In-Progress	User.016
	m-12528	2018-10-08T17:08:15.000Z		2019-03-08T03:34:10.000Z	2019-03-08T03:34:10.000Z	In-Progress	User.020
	m-9486	2018-10-28T20:24:27.000Z		2018-12-02T14:13:05.000Z	2018-12-02T14:13:05.000Z	In-Progress	User.000
